data.name,folds,seed,algo,bad.groups,RSS,RMSE,mean.sd,zeros
Laribi2024,4,8,Wasikowski,0,2.75,0.586301969977929,0.658248290463863,0
Laribi2024,4,8,origami,0,,,,
Laribi2024,4,9,random,0,138426.75,131.542174795767,146.338420272761,0
Laribi2024,4,9,RSS,0,0.75,0.306186217847897,0.25,0
Laribi2024,4,9,Wasikowski,0,2.75,0.586301969977929,0.658248290463863,0
Laribi2024,4,9,origami,0,,,,
Laribi2024,4,10,random,0,355020.75,210.659900669302,216.38961738996,0
Laribi2024,4,10,RSS,0,0.75,0.306186217847897,0.25,0
Laribi2024,4,10,Wasikowski,0,2.75,0.586301969977929,0.658248290463863,0
Laribi2024,4,10,origami,0,,,,
Laribi2024,5,1,random,0,370990,192.611006954431,189.632502026064,0
Laribi2024,5,1,RSS,0,0,0,0,0
Laribi2024,5,1,Wasikowski,0,0,0,0,0
Laribi2024,5,1,origami,0,,,,
Laribi2024,5,2,random,0,158364,125.842759028877,126.831588427085,0
Laribi2024,5,2,RSS,0,0,0,0,0
Laribi2024,5,2,Wasikowski,0,0,0,0,0
Laribi2024,5,2,origami,0,,,,
Laribi2024,5,3,random,0,168060,129.637957404458,129.829474784289,0
Laribi2024,5,3,RSS,0,0,0,0,0
Laribi2024,5,3,Wasikowski,0,0,0,0,0
Laribi2024,5,3,origami,0,,,,
Laribi2024,5,4,random,0,222608,149.200536192066,157.593548371332,0
Laribi2024,5,4,RSS,0,0,0,0,0
Laribi2024,5,4,Wasikowski,0,0,0,0,0
Laribi2024,5,4,origami,0,,,,
Laribi2024,5,5,random,0,606608,246.294133101055,259.698069717915,0
Laribi2024,5,5,RSS,0,0,0,0,0
Laribi2024,5,5,Wasikowski,0,0,0,0,0
Laribi2024,5,5,origami,0,,,,
Laribi2024,5,6,random,0,142796,119.497280303779,132.223360698165,0
Laribi2024,5,6,RSS,0,0,0,0,0
Laribi2024,5,6,Wasikowski,0,0,0,0,0
Laribi2024,5,6,origami,0,,,,
Laribi2024,5,7,random,0,313940,177.18352067842,194.873515247328,0
Laribi2024,5,7,RSS,0,0,0,0,0
Laribi2024,5,7,Wasikowski,0,0,0,0,0
Laribi2024,5,7,origami,0,,,,
Laribi2024,5,8,random,0,249298,157.891735059185,176.510069001689,0
Laribi2024,5,8,RSS,0,0,0,0,0
Laribi2024,5,8,Wasikowski,0,0,0,0,0
Laribi2024,5,8,origami,0,,,,
Laribi2024,5,9,random,0,341596,184.823158722061,204.544553195498,0
Laribi2024,5,9,RSS,0,0,0,0,0
Laribi2024,5,9,Wasikowski,0,0,0,0,0
Laribi2024,5,9,origami,0,,,,
Laribi2024,5,10,random,0,457002,213.776051044077,205.365157639722,0
Laribi2024,5,10,RSS,0,0,0,0,0
Laribi2024,5,10,Wasikowski,0,0,0,0,0
Laribi2024,5,10,origami,0,,,,
Laribi2024,6,1,random,0,397592.833333333,182.023998723001,185.767209317791,0
Laribi2024,6,1,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,1,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,1,origami,0,,,,
Laribi2024,6,2,random,0,290796.833333333,155.669744794692,160.214067009731,0
Laribi2024,6,2,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,2,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,2,origami,0,,,,
Laribi2024,6,3,random,0,493036.833333333,202.697811477524,199.53561048505,0
Laribi2024,6,3,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,3,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,3,origami,0,,,,
Laribi2024,6,4,random,0,389814.833333333,180.234762031203,185.310379636057,0
Laribi2024,6,4,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,4,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,4,origami,0,,,,
Laribi2024,6,5,random,0,171856.833333333,119.672063480905,117.870908032473,0
Laribi2024,6,5,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,5,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,5,origami,0,,,,
Laribi2024,6,6,random,0,283334.833333333,153.659481032285,157.862391185757,0
Laribi2024,6,6,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,6,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,6,origami,0,,,,
Laribi2024,6,7,random,0,408194.833333333,184.434910228815,202.0305674496,0
Laribi2024,6,7,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,7,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,7,origami,0,,,,
Laribi2024,6,8,random,0,207818.833333333,131.598769413362,128.668225051024,0
Laribi2024,6,8,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,8,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,8,origami,0,,,,
Laribi2024,6,9,random,0,187002.833333333,124.834167776472,132.344983216594,0
Laribi2024,6,9,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,9,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,9,origami,0,,,,
Laribi2024,6,10,random,0,131508.833333333,104.685574194559,113.500230764711,0
Laribi2024,6,10,RSS,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,10,Wasikowski,0,2.83333333333333,0.485912657903775,0.532060168499744,0
Laribi2024,6,10,origami,0,,,,
Laribi2024,7,1,random,0,194199.142857143,117.776769131008,120.175597707817,0
Laribi2024,7,1,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,1,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,1,origami,0,,,,
Laribi2024,7,2,random,0,461869.142857143,181.63329282162,195.072387682658,0
Laribi2024,7,2,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,2,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,2,origami,0,,,,
Laribi2024,7,3,random,0,331035.142857143,153.770502200321,161.353804533137,0
Laribi2024,7,3,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,3,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,3,origami,0,,,,
Laribi2024,7,4,random,0,404421.142857143,169.962420816473,176.967890721809,0
Laribi2024,7,4,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,4,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,4,origami,0,,,,
Laribi2024,7,5,random,0,283533.142857143,142.31081247375,153.429603647395,0
Laribi2024,7,5,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,5,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,5,origami,0,,,,
Laribi2024,7,6,random,0,363381.142857143,161.108025617495,172.250094998507,0
Laribi2024,7,6,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,6,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,6,origami,0,,,,
Laribi2024,7,7,random,0,309125.142857143,148.59464104381,143.753395705568,0
Laribi2024,7,7,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,7,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,7,origami,0,,,,
Laribi2024,7,8,random,0,303073.142857143,147.132870673596,154.332784359074,0
Laribi2024,7,8,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,8,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,8,origami,0,,,,
Laribi2024,7,9,random,0,421559.142857143,173.52627278582,163.505648605458,0
Laribi2024,7,9,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,9,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,9,origami,0,,,,
Laribi2024,7,10,random,0,226775.142857143,127.27224555965,133.703598202193,0
Laribi2024,7,10,RSS,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,10,Wasikowski,0,3.14285714285714,0.473803541479343,0.511236260149558,0
Laribi2024,7,10,origami,0,,,,
Laribi2024,8,1,random,0,373384.875,152.763067157936,153.565996100965,0
Laribi2024,8,1,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,1,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,1,origami,0,,,,
Laribi2024,8,2,random,0,157910.875,99.3450033343399,105.092081366604,0
Laribi2024,8,2,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,2,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,2,origami,0,,,,
Laribi2024,8,3,random,0,213232.875,115.442863302588,120.015088961963,0
Laribi2024,8,3,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,3,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,3,origami,0,,,,
Laribi2024,8,4,random,0,188392.875,108.510620159964,114.100335305248,0
Laribi2024,8,4,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,4,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,4,origami,0,,,,
Laribi2024,8,5,random,0,369058.875,151.875540122496,142.41685873909,0
Laribi2024,8,5,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,5,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,5,origami,0,,,,
Laribi2024,8,6,random,0,377238.875,153.5494372751,150.877796131248,0
Laribi2024,8,6,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,6,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,6,origami,0,,,,
Laribi2024,8,7,random,0,551982.875,185.738875003323,190.913527297402,0
Laribi2024,8,7,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,7,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,7,origami,0,,,,
Laribi2024,8,8,random,0,379358.875,153.980289931861,146.653914426268,0
Laribi2024,8,8,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,8,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,8,origami,0,,,,
Laribi2024,8,9,random,0,213994.875,115.648950222213,120.853890973777,0
Laribi2024,8,9,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,9,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,9,origami,0,,,,
Laribi2024,8,10,random,0,324340.875,142.377332070453,145.789018076988,0
Laribi2024,8,10,RSS,0,2.875,0.423895623945329,0.444037937209061,0
Laribi2024,8,10,Wasikowski,0,4.875,0.551985054145491,0.554741168305864,0
Laribi2024,8,10,origami,0,,,,
Laribi2024,9,1,random,0,794394.888888889,210.078674269227,211.051971563099,0
Laribi2024,9,1,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,1,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,1,origami,0,,,,
